,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Top Type,Belt,Hem Shaped,Placket,Care Instructions,Arabian Clothing,Doorzichtig,Kleur,Lengte,Materiaal,Mouw lengte,Neklijn,Patroon type,Seizoen,Stijl,Stof,Type fit,Type mouwen
38,swtwop04200819199,,821,9,2,13,0,35,8,46,9,717,119,21,Casual,Purple,Plain,,,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket, Zipper",Fall/Winter,100% Polyester,Velvet,Non-Stretch,No,Regular Fit,,,,,,,Pants,Zip Front Crop Velvet Jacket and Drawstring Waist Pants Set,18.0,Jackets,,,,,,,,,,,,,,,,,
39,swtwop04201105553,,821,9,2,13,0,35,8,46,9,717,119,25,Casual,Coffee Brown,Plain,,,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket, Zipper",Fall/Winter,100% Polyester,Velvet,Non-Stretch,No,Regular Fit,,,,,,,Pants,Zip Front Crop Velvet Jacket and Drawstring Waist Pants Set,21.0,Jackets,,,,,,,,,,,,,,,,,
40,swtwop04201105023,,821,9,2,13,0,35,8,46,9,717,119,24,Casual,Navy Blue,Plain,,,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket, Zipper",Fall/Winter,100% Polyester,Velvet,Non-Stretch,No,Regular Fit,,,,,,,Pants,Zip Front Crop Velvet Jacket and Drawstring Waist Pants Set,20.0,Jackets,,,,,,,,,,,,,,,,,
41,swtwop04201123999,,821,9,2,13,0,35,8,46,9,717,119,25,Casual,Navy Blue,Plain,,,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket, Zipper",Fall/Winter,100% Polyester,Velvet,Non-Stretch,No,Regular Fit,,,,,,,Pants,Zip Front Crop Velvet Jacket and Drawstring Waist Pants Set,21.0,Jackets,,,,,,,,,,,,,,,,,
42,swtwop04201123408,,821,9,2,13,0,35,8,46,9,717,119,25,Casual,Apricot,Plain,,,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket, Zipper",Fall/Winter,100% Polyester,Velvet,Non-Stretch,No,Regular Fit,,,,,,,Pants,Zip Front Crop Velvet Jacket and Drawstring Waist Pants Set,21.0,Jackets,,,,,,,,,,,,,,,,,
43,swtop02200902237,,2663,0,0,0,0,0,0,113,30,2516,594,18,Casual,Navy Blue,"Geometric, Striped",Regular,,V neck,Sleeveless,,Pullovers,Contrast Binding,Spring/Fall,"5% Cotton, 65% Polyester, 30% Spandex",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Trim Geo Pattern Sweater Vest,15.0,,,,,,,,,,,,,,,,,,
44,swtop02200918853,,2663,1,0,4,0,29,2,113,30,2663,626,18,Casual,Grey,"Geometric, Striped",Regular,,V neck,Sleeveless,,Pullovers,,Spring/Fall,"5% Cotton, 65% Polyester, 30% Spandex",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Trim Geo Pattern Sweater Vest,15.0,,,,,,,,,,,,,,,,,,
45,swtop02200918103,,2663,1,0,4,0,29,2,113,30,2516,594,18,Casual,Black,"Geometric, Striped",Crop,,V neck,Sleeveless,,Pullovers,,Spring/Fall,"5% Cotton, 65% Polyester, 30% Spandex",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Trim Geo Pattern Sweater Vest,15.0,,,,,,,,,,,,,,,,,,
46,swtop02201021220,,2663,1,0,4,0,29,2,113,30,2516,594,18,Casual,Khaki,"Geometric, Striped",Crop,,V neck,Sleeveless,,Pullovers,,Spring/Fall,"5% Cotton, 65% Polyester, 30% Spandex",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Trim Geo Pattern Sweater Vest,15.0,,,,,,,,,,,,,,,,,,
47,swtee07201012950,,10000,0,0,0,0,0,0,0,0,9999,3020,7,Casual,Mint Green,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Spring/Fall,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Ruched Side Rib-knit Crop Tee,5.99,,,,,,,,,,,,,,,,,,
